playlist,video_id,video_title,uploader,duration
BIL2012 Space Stage,OTpfjrTRvx8,BIL2012 - Loretta Whitesides,BILtalks,881
BIL2013 Talks,s4TZpUqi0kI,BIL2013 - Amanda Palmer,BILtalks,1077
BIL2013 Talks,xEMqDvt19vE,BIL2013 - Jason Dunn,BILtalks,953
BIL2013 Talks,v45AtiGfolg,BIL2013 - Charlie Nox,BILtalks,877
BIL2013 Talks,ScXeKGv5RHg,BIL2013 - Ric Kaner,BILtalks,1159
BIL2013 Talks,WhmXsiSMBQA,BIL2013 - Christopher Ryan,BILtalks,1291
BIL2013 Talks,KwG-rNYZk-s,BIL2013 - Aubrey De Grey,BILtalks,973
BIL2013 Talks,V2HysamGoSg,BIL2013 - Damian Apunte,BILtalks,1081
BIL2013 Talks,m7A4aw2jJQU,BIL2013 - Matt Bell,BILtalks,808
BIL2013 Talks,FgeraNRDvUg,BIL2013 - Luke Nosek,BILtalks,1127
BIL2013 Talks,YcL1JOMRbvI,BIL2013 - Michael Laine,BILtalks,1192
BIL2013 Talks,Z-Vd_-z4DQQ,BIL2013 - Josh Whiton - Consciousness High and Low,BILtalks,985
BIL2013 Talks,7Et13DB2lvM,BIL2013 - Andy Lee,BILtalks,888
BIL2013 Talks,6RP0sx5TJLc,Amanda Palmer at the BIL Conference 2013,PCWS,123
BIL2014SF Mainstage Talks,cOb2UouppwU,BIL2014SF - Reichart Von Wolfsheild - When Privacy Is a Public Issue,BILtalks,2624
BIL2014SF Mainstage Talks,whHyhmqXyRw,"BIL2014SF - Gayle Karen Young, Chief Talent and Culture Officer at Wikimedia",BILtalks,1661
BIL2014SF Mainstage Talks,GakKzIWH2-Q,BIL2014SF - John Smart - Brain Preservation: Realizing A New Human Option To Live Again,BILtalks,1848
BIL2014SF Mainstage Talks,i7zKvSVyhzA,"BIL2014SF - Brad Templeton - What Snowden's Told Us About the NSA, and An Update on Robocars",BILtalks,1867
BIL2014SF Mainstage Talks,-fn1PzTrb38,BIL2014SF - Christine Peterson - Find Love and A Life Partner Using Science and Technology,BILtalks,1161
BIL2014SF Mainstage Talks,wFySurVN9MU,BIL2014SF - Bitcoin Panel,BILtalks,2478
BIL2014SF Mainstage Talks,eXYP9RhB_d0,BIL2014SF - Mitch Altman - International Hackers in Residence Program,BILtalks,1453
BIL2014SF Mainstage Talks,m-W1D-CFkDA,BIL2014SF - Andrea Kuszewski - Creative Disobedience,BILtalks,1116
BIL2014SF Mainstage Talks,qDMtboQeRMc,BIL2014SF - A. Jolly - Travel/Credit Card Rewards Hacking/Optiminization,BILtalks,1212
BIL2014SF Mainstage Talks,igBK2_Rect8,,,
BIL2012 The Masque Sex Positive Boiler Room,ftMRrjp9bok,"BIL2012 - Nina Hartley: Sexual Integrity, The North Star of Personal Growth and Healing",BILtalks,616
BIL2012 The Masque Sex Positive Boiler Room,-V2ky06Bt4A,BIL2012 - Sandra Daugherty: I'm a Sex Nerd and So Can You!,BILtalks,1187
BIL2012 The Masque Sex Positive Boiler Room,sCog7UQAWsk,BIL2012 - Sex Geeks Reid Mihalko and Allison Moon (LIVE FROM BIL),BILtalks,1019
BIL2015 Los Angeles - LIVE STREAM,YTxhYGG_WsY,BIL - Los Angeles 2015 - Day 1,BILtalks,20924
BIL2015 Los Angeles - LIVE STREAM,Wl_O_sewHRQ,BIL - Los Angeles 2015 - Day 2,BILtalks,25057
"BIL2014SF ""Odd Jobs"" Stage Talks",kHWQ335FaU4,BIL2014SF - Samuel Coniglio - Designing for Space Tourism,BILtalks,1982
"BIL2014SF ""Odd Jobs"" Stage Talks",J9OCXw1saeM,BIL2014SF - Paul Fuller - Astropreneur,BILtalks,609
"BIL2014SF ""Odd Jobs"" Stage Talks",ZBIMKaQQ25w,BIL2014SF - Romeo Stevens - 10 Weird Tricks to not Die,BILtalks,1317
"BIL2014SF ""Odd Jobs"" Stage Talks",MF-rHWb7LYk,BIL2014SF - Cindy Dinh - Authentic Relating,BILtalks,1318
"BIL2014SF ""Odd Jobs"" Stage Talks",eJ_4gI_DJaU,BIL2014SF - Linda Maepa - Touch and Breath for Focus,BILtalks,1032
"BIL2014SF ""Odd Jobs"" Stage Talks",ErNK5MRxIBU,BIL2014SF - Alexader Izvorski - Health and the Next 20 Years,BILtalks,1073
"BIL2014SF ""Odd Jobs"" Stage Talks",8-drdvvGX_Q,BIL2014SF - Mark Ciotola - Future Day and Fast Entropy,BILtalks,1085
"BIL2014SF ""Odd Jobs"" Stage Talks",MD-lhSW-evc,BIL2014SF - Marshall Millett - Post Archaeology in a Virtual Reality World,BILtalks,1097
"BIL2014SF ""Odd Jobs"" Stage Talks",3CQ1_nW_T0E,BIL2014SF - Max Song - Grit: The Hidden Factor to Success,BILtalks,820
